Mass,Radius
1.2942,5.4613
1.7329,9.1988
1.4391,6.5833
1.8248,5.8499
1.611,6.8449
1.2866,6.2565
1.1726,5.2302
1.2223,7.9005
1.1405,8.0508
1.4263,5.706
1.2734,5.5861
1.4172,5.9874
1.1942,5.3863
1.2765,8.0368
1.1562,10.1444
1.2565,5.0636
1.1448,6.2139
1.2873,9.8672
1.393,8.0467
1.2449,8.3858
1.2682,7.8351
1.1225,7.5918
1.4315,8.5675
1.2193,8.3245
1.1788,6.1222
1.1391,12.6126
1.0778,10.2327
1.078,7.5705
1.3251,8.615
1.1669,8.245
1.1952,7.5776
1.0677,7.6434
0.9158,4.6553
1.4258,5.0544
1.553,5.6311
1.5607,6.7882
1.3611,5.7401
1.3232,4.7685
1.1661,6.3769
1.252,4.62
1.8697,7.3791
1.509,6.7651
1.2913,6.0648
1.6624,9.5716
1.2556,5.8557
1.4227,6.8007
1.2603,4.6773
1.2364,5.8457
1.122,5.2231
1.094,6.0573
1.0771,4.8763
1.202,6.9329
1.0641,5.0712
1.01,4.6333
1.3384,5.2822
1.138,4.5803
1.4491,5.1659
1.4017,6.0187
1.4116,5.2744
1.4393,5.5128
1.3131,6.56
1.2028,5.6498
1.2248,7.3419
1.541,6.8824
1.1693,4.8334
1.1385,5.2405
1.3374,6.2814
1.3268,9.5074
1.1666,4.6921
1.2245,5.5298
1.2751,4.8706
1.1696,11.5672
1.1935,5.6552
1.326,6.2774
1.4761,6.2267
1.182,5.1031
1.4656,6.6163
1.7561,7.5607
1.5933,7.8629
1.4585,8.0473
1.4535,6.6966
1.3399,5.7737
1.3297,6.684
1.329,7.1609
1.5082,8.7499
1.641,8.4316
1.0848,4.8002
1.2944,5.7764
1.2539,4.8051
1.1885,5.8922
1.1625,4.9045
1.1866,4.6686
1.4337,6.8586
1.3992,7.1061
1.7402,10.043
1.2207,6.2842
1.5483,7.5637
1.2255,6.4362
1.2742,6.8089
1.0622,5.7813
1.102,4.8436
1.1841,5.9746
1.0521,4.8434
1.1172,5.303
1.3215,6.4593
1.1062,5.4057
1.3925,6.8905
1.2946,7.0042
1.1148,6.1757
1.271,6.4256
1.1297,6.3984
1.1046,5.9017
1.0293,6.0013
0.9767,6.4703
2.0158,7.8481
1.762,9.0293
1.2236,4.5976
1.2495,5.555
1.4124,5.0441
1.2281,5.1094
1.7233,6.9889
1.2026,6.4983
1.5642,8.4528
1.615,9.4908
1.5721,7.1458
1.5825,7.8633
1.3584,6.8731
1.5612,7.2829
1.2947,4.7251
1.1379,6.2808
1.4561,7.1845
1.2913,6.7512
1.3041,5.284
1.2625,6.2033
1.3048,6.3679
1.3242,5.9511
1.2631,6.2207
1.3245,4.9924
1.7222,7.4907
1.2711,6.2287
1.2346,5.4728
1.0459,4.4513
1.1694,5.7083
1.3951,6.306
1.201,6.6967
1.6327,9.8464
1.488,8.4948
1.1866,6.3012
1.1267,5.3145
1.5276,9.9692
1.1726,6.0786
1.1317,5.5056
1.5288,7.4152
1.2226,6.08
1.487,8.913
1.5913,8.9613
1.2558,8.0399
1.119,5.4221
1.6174,9.8682
1.1924,6.677
1.7909,9.767
1.108,4.5585
1.137,6.4788
1.1209,5.622
1.3372,7.8063
1.1147,5.8371
1.4298,5.9851
1.1398,5.9353
1.4905,7.252
1.1682,6.8159
1.1759,5.3089
1.1768,5.5199
1.1653,8.0716
1.1195,4.9385
1.0697,6.7208
1.2321,8.4004
1.2845,7.3815
1.1572,6.616
1.1678,7.3388
1.0639,5.9178
1.0711,5.5532
1.182,6.664
1.1225,4.4076
1.0674,6.4598
1.3476,8.1236
1.2307,8.5556
1.1629,8.7172
1.2048,6.5031
1.4026,6.1943
1.0406,5.5601
1.2507,7.2718
1.1545,7.6492
1.0707,4.5321
1.3596,7.4408
1.3583,8.7893
1.1297,7.3247
1.1142,7.5066
1.1564,6.8734
1.0055,6.0509
1.2557,9.2367
1.0084,5.2991
1.0454,7.4881
0.9969,4.804
0.9689,4.8181
0.9738,4.977
1.3548,6.9873
1.3894,7.1113
1.2372,5.2443
1.4513,7.9477
1.3936,7.6009
1.3837,7.5453
1.3286,8.17
1.3232,7.183
1.0276,6.4272
1.2759,6.0412
1.4853,8.3881
1.4578,6.0946
1.563,8.9767
1.3017,5.044
1.1329,4.6999
1.168,4.7383
1.2455,5.7703
1.2472,6.0619
1.1137,4.6451
1.04,5.2335
1.2614,5.1751
1.467,7.4013
1.17,5.6423
1.27,8.2273
1.3113,5.9357
1.2931,6.4784
1.4268,7.2402
1.2365,6.1911
1.3309,6.6798
1.3987,7.3661
1.1471,5.3928
1.3129,6.988
1.1561,5.9562
1.2804,6.5328
1.1028,8.5925
1.5013,10.6301
1.4741,7.491
1.1412,4.8526
1.2844,7.6487
1.2574,5.7734
1.1862,5.9314
1.3008,9.3295
1.3097,6.4352
1.2074,7.1616
1.2744,7.0873
1.1242,4.8797
1.5067,8.422
1.3443,7.3693
1.1347,6.8739
1.1968,6.417
1.3536,8.4055
1.239,9.266
1.1373,5.651
1.3456,9.3438
1.4776,10.8771
1.0979,4.701
1.0985,5.2542
1.1525,4.7852
1.0864,5.5123
1.1092,6.4669
1.1643,7.6944
1.7896,9.8219
1.1183,6.7895
1.2864,7.7625
1.1368,4.655
1.3817,8.5821
1.0282,5.1372
1.2171,6.6104
1.464,10.5019
1.1938,6.2454
1.1816,6.8773
1.0987,5.659
1.0547,6.2072
1.2842,5.7561
1.3495,9.5513
1.3528,9.3994
1.2981,8.5112
1.3045,8.9545
1.0309,5.6734
1.2184,8.5059
1.1596,9.9742
1.201,8.8085
1.1202,8.3795
1.2812,7.9496
1.0461,5.3994
1.3836,10.2161
1.2218,9.749
1.108,8.1129
1.0789,6.0259
1.0417,6.0168
1.1512,9.4807
1.189,8.4497
1.3689,8.83
1.2125,7.0972
1.1541,6.665
1.6018,8.6111
1.3188,8.3237
1.1933,7.9792
1.0458,5.6401
1.0814,7.3472
1.1021,7.5886
1.0898,5.4755
1.0802,6.3418
1.3546,9.4878
1.1963,10.7559
1.0392,5.9474
1.0407,5.96
1.0431,9.2953
1.0983,9.9361
1.0398,6.9629
1.1295,9.1979
1.179,8.4405
1.0021,4.4592
1.2148,10.9775
1.0415,9.0616
1.0267,8.6785
1.0389,4.5949
1.0613,7.5316
1.0601,7.0983
0.9781,8.6343
1.0413,7.8444
1.057,9.5143
1.0589,9.8015
1.0755,7.7667
1.0109,8.1555
1.0372,5.0166
1.0879,6.8502
0.9597,4.9034
0.9778,8.2438
0.9879,4.44
0.9579,8.7471
1.3573,9.9495
1.2731,7.9167
1.3727,9.852
1.3404,5.1066
1.1158,4.6159
1.1105,5.4389
1.1775,5.6164
1.2719,9.1145
1.3236,9.3927
1.1621,7.2446
1.3499,10.3192
1.4004,9.8908
1.1937,8.4541
1.434,10.4589
1.4337,8.7666
1.1062,5.5495
1.2669,7.856
1.482,10.2253
1.1179,6.6727
1.7165,11.6406
1.3858,7.5368
1.1115,4.4677
1.3691,7.6768
1.2301,6.1742
1.4141,10.3771
1.1404,5.6514
1.3413,9.649
1.2998,5.5417
1.0863,7.0862
1.1883,7.4211
1.2245,8.4665
1.1517,10.1031
1.2304,6.4331
1.1656,8.8803
1.1642,6.4893
1.3706,8.4875
1.1238,8.2468
1.2081,7.9507
1.3239,7.562
1.4238,8.2446
1.1419,5.3967
1.2073,6.8516
1.1911,6.5375
1.1376,6.0629
1.1824,7.1065
1.4096,9.1421
1.3564,10.4134
1.1385,9.0243
1.3696,10.4752
1.4205,10.2921
1.2472,5.7062
1.2534,9.1535
1.2165,6.7995
1.3042,8.05
1.1144,8.631
1.171,5.7304
1.4923,9.171
1.4788,11.1338
1.1045,5.8592
1.2377,6.7763
1.0945,4.9769
1.1346,7.6137
1.1658,9.217
1.3007,8.6829
1.1967,8.5458
1.5059,9.8468
1.35,9.6671
1.0584,6.6225
1.3227,9.9445
1.5656,12.8385
1.1974,9.0967
1.2179,9.3432
1.0793,6.5735
1.2007,7.4563
1.5,11.5097
1.1305,8.3382
1.1004,8.3503
1.3306,7.0678
1.216,7.7252
1.3416,6.2757
1.6293,9.9007
1.274,9.8202
1.432,10.7975
1.1728,6.1939
1.2387,10.1318
1.1726,6.7134
1.2977,9.5982
1.1417,7.3384
1.4016,10.5754
1.1023,9.5378
1.1564,8.7326
1.1477,9.6611
1.0296,6.4561
1.045,8.2447
1.1826,9.2563
1.0845,8.9941
0.9217,8.1868
1.0824,9.0443
1.0571,7.123
1.0402,5.7019
1.2719,9.1422
1.1147,8.2533
1.1108,9.2557
1.2639,10.3128
1.3408,12.0486
0.9866,7.3102
1.0873,10.2462
1.2825,11.9618
1.0825,8.799
1.063,5.9266
1.1265,6.6511
1.0229,9.1449
1.0237,5.3363
1.0218,5.8245
1.0513,5.5753
1.0666,4.9189
0.9983,9.2171
1.0102,8.8395
1.4056,8.4406
1.029,8.7906
0.9765,6.2028
0.9865,5.7095
1.1699,9.1971
1.2746,8.1159
1.3913,10.5181
1.1434,7.9279
1.228,8.1249
1.5514,9.7557
1.4694,8.9729
1.3227,9.1739
1.4152,10.6451
1.5249,11.2091
1.3832,10.1806
1.168,8.7192
1.1191,8.9933
1.2108,6.6369
1.2471,8.6888
1.3048,9.4334
1.6633,12.9079
1.1269,7.0569
1.1952,9.0553
1.1893,8.8667
1.3165,7.4457
1.2451,8.9426
1.1013,7.2329
1.1927,7.3126
1.0975,7.0295
1.0619,8.3316
1.1558,8.5766
1.1304,8.2616
1.3061,6.9326
1.219,10.2688
1.2287,8.882
1.4389,8.8052
1.2291,7.1408
1.1855,8.7352
1.2778,8.9144
1.0709,8.2839
1.1613,8.7404
1.1106,8.3112
1.1948,8.5787
1.2405,9.0121
1.1799,6.0411
1.1289,7.4205
1.2557,9.8165
1.0754,8.3741
1.4051,10.4818
1.1614,6.569
1.182,6.6896
1.3392,9.6899
1.2462,9.0912
1.1351,8.5142
1.0483,8.0211
1.0882,8.1454
1.2121,8.3927
1.2484,8.5087
1.1432,8.3119
1.0849,7.878
1.1324,7.3745
1.1444,5.7398
1.3117,7.6845
1.1598,7.9449
1.0584,8.0107
1.2108,7.5539
1.1885,8.3089
1.104,8.2938
1.1023,5.2568
1.1006,7.4444
1.1075,8.402
1.0893,5.7145
1.0641,8.7701
1.1215,7.8827
1.0492,9.2107
1.1042,8.424
1.0927,8.4776
1.2237,8.7755
1.0788,7.5759
1.177,8.5481
0.9958,7.9075
1.2022,8.3362
1.1442,8.9442
1.0897,8.8308
1.3889,7.9226
1.095,8.2129
1.0989,8.4941
1.3765,7.501
1.0994,7.8671
1.1927,8.8725
1.1136,9.0928
1.0952,7.5536
1.487,9.0699
1.2256,9.3324
1.2566,12.2999
1.1051,8.3689
1.0125,9.4077
1.0787,9.1919
1.1283,8.8493
1.0083,8.0975
1.5175,10.1362
1.0516,7.6562
1.0364,4.8185
1.1976,8.7937
1.0995,6.9329
1.413,9.411
1.0488,6.8337
1.0592,4.7664
1.0651,5.8717
1.1417,5.9979
1.021,7.1144
0.9902,7.1088
1.0351,7.494
0.9772,11.4127
1.0249,7.2227
0.9827,7.6228
1.0007,7.178
1.1629,5.7281
1.2838,5.6378
1.2085,7.1723
1.1039,7.7147
1.0321,7.9363
1.1415,8.102
1.3641,8.7054
1.1649,8.2338
1.1084,8.3797
1.2215,8.7438
1.3368,6.6185
1.2436,8.7242
1.1653,9.7873
1.12,5.6342
1.497,6.3123
1.3115,7.0223
1.1777,8.2585
1.4878,9.3483
1.2246,8.8727
1.0995,8.4554
1.1367,8.4321
1.1433,8.2484
1.0616,9.1556
1.0943,4.7072
1.1384,10.9334
1.0624,10.3962
1.1254,8.9783
1.0889,8.0976
1.2735,15.0956
1.048,8.6237
1.0867,4.6594
1.0494,7.4665
1.0731,6.6254
1.0766,6.7462
1.0671,7.8418
1.0849,7.0675
1.066,7.3793
1.0451,7.9234
0.9833,7.6255
1.0321,8.0297
1.1588,8.6726
1.0213,6.2022
1.0039,7.2889
0.9958,8.6461
1.022,7.5415
1.08,7.9118
1.0117,8.1898
1.016,7.5591
0.9983,7.9205
1.0073,7.6867
1.5944,6.902
1.2497,7.1864
1.2396,8.6039
1.3973,10.9441
1.3803,9.3543
1.2439,7.9879
1.151,9.6844
1.1645,9.0627
1.3429,7.998
1.1252,5.2893
1.1036,8.301
1.1816,5.9721
1.4463,5.0749
1.1199,8.8449
1.3172,8.5367
1.3566,7.9345
1.0206,9.9351
1.1454,7.2733
1.0313,5.5534
1.0356,9.9996
0.9748,11.8199
1.0492,7.8815
1.178,8.3569
1.2352,5.2681
1.1649,5.6879
1.149,4.734
1.1648,5.8135
1.1251,5.2821
1.5179,10.81
1.1537,4.5985
1.3489,6.9152
1.2233,5.5322
1.1037,6.4528
1.1801,14.3175
1.0504,8.5096
1.0374,7.7548
0.9233,9.0057
0.9912,10.6797
1.653,9.4202
1.3608,6.1936
1.1558,6.7925
1.0628,5.1687
1.5401,8.6689
1.3744,8.5699
1.2989,6.4687
1.1321,4.5646
1.103,10.5765
1.2305,9.9849
1.0439,5.3557
1.1434,9.1914
1.1137,7.1583
1.3189,10.8614
1.2671,6.8606
1.6475,10.6814
1.0839,9.1567
1.1519,9.15
1.0821,6.8766
1.1317,5.1787
1.4722,7.6994
1.1452,6.0957
1.727,8.3303
1.1846,8.2201
1.1322,5.5521
1.1569,12.3547
1.5002,10.4773
1.172,8.7737
1.4486,9.1842
1.2803,8.9346
1.1416,7.0916
1.1238,14.3675
1.2796,8.2356
1.2739,10.4571
1.1063,7.708
1.2409,7.9737
1.066,11.9351
1.0352,8.142
1.5109,5.6652
1.3667,5.0221
1.2091,7.0766
1.2241,4.7313
1.4292,9.8913
1.2046,8.454
1.2226,9.5449
1.6954,5.6414
1.6907,7.192
1.0902,12.1366
1.3973,10.1068
1.1539,8.5044
1.2787,9.8567
1.0364,4.5771
1.0462,9.1471
1.0778,9.5575
1.039,5.5635
1.0511,8.3595
0.9952,8.1277
1.6254,9.5499
1.1928,5.8832
1.3601,10.4299
1.286,6.0548
1.6466,8.2952
1.2895,8.057
1.2254,5.6421
1.3786,10.1946
1.4357,5.4454
1.426,9.3265
1.1776,11.6007
1.0353,6.6818
1.1481,9.357
1.2537,5.1344
1.1392,6.0813
1.2458,9.1676
1.2687,6.1229
0.964,5.8011
1.0056,12.5571
1.1771,5.7314
1.7642,10.329
1.3485,6.3634
1.6911,13.9755
1.4249,7.1057
1.39,6.5647
1.3053,9.3406
1.2701,9.5446
1.3577,9.7516
1.1569,9.1702
0.9912,6.006
1.1246,9.1431
1.0502,7.9289
1.7672,10.2799
1.4657,11.9914
1.328,5.0103
1.3873,8.6302
1.3881,5.3276
1.0653,4.7417
1.2454,6.279
1.1837,8.7463
1.3817,5.8152
1.191,7.7187
1.0615,8.6982
1.2193,8.4163
1.2373,6.8575
1.2657,7.6108
1.0769,5.7634
1.1818,9.4728
1.0504,7.0053
1.2385,12.2532
1.5008,5.2702
1.1985,5.1279
1.3287,10.8247
1.054,6.7305
1.2351,8.7576
1.0219,5.7557
1.1644,10.7337
1.4832,9.279
1.0578,6.7232
1.152,7.3385
1.0436,12.7779
1.0546,13.7616
1.4133,10.1144
1.334,6.3848
1.3271,8.4997
1.4784,7.478
1.3096,6.0182
1.6006,5.6907
1.191,6.8927
1.4665,7.7717
1.2459,7.8471
1.1428,6.4899
1.1494,8.4355
1.6161,12.0421
1.0657,8.6851
1.1322,5.5624
1.4914,10.7738
1.058,9.3594
1.0666,5.2873
1.2552,6.1672
1.1364,8.5996
1.0666,7.4337
1.0881,5.9033
1.0512,8.4618
1.0252,7.8708
1.0288,4.2321
1.0161,7.9705
1.7435,13.8697
1.254,9.7803
1.4505,5.2642
1.3878,5.2486
1.2667,9.0695
1.1511,8.3122
1.099,6.4898
1.1977,6.7005
1.5155,7.2857
1.1493,8.4261
1.1623,11.1081
1.1855,6.1362
1.0622,7.9331
1.0777,9.1211
1.1662,8.805
1.5917,6.5637
1.3713,10.0396
1.6887,9.7199
1.2771,8.386
1.1059,7.6496
1.1487,7.5294
1.117,7.2906
1.2305,7.1061
1.2283,5.3867
1.1517,9.5927
1.5435,11.0959
1.4869,5.8131
2.1286,9.4366
1.3717,10.2986
1.1711,4.7347
1.3107,8.2407
1.2597,9.2423
1.2595,8.569
1.2237,7.6687
1.109,8.2343
1.0445,4.3142
1.5236,9.9177
1.1008,13.7721
1.0491,5.9804
1.1464,4.6843
1.1675,14.3626
1.022,9.0358
2.0003,7.8863
1.0128,10.0424
1.3764,4.8923
1.1978,8.0922
1.438,7.5355
1.176,7.7727
1.2289,5.4832
1.1858,7.9761
1.0965,8.1542
1.3298,6.9768
1.3462,6.7649
1.3296,7.9165
1.4055,13.7792
1.066,5.3506
1.0637,4.6897
1.1467,8.9592
1.0439,5.9641
1.084,7.6484
1.0792,4.8001
1.4859,10.5638
1.1263,12.4036
1.0651,4.6302
0.9853,4.3093
1.1419,5.0471
1.1645,6.9357
1.1776,7.8693
1.1747,8.6356
1.1461,8.8018
1.0977,7.8793
1.5615,7.2666
1.1995,8.159
1.1843,5.2105
1.096,8.6894
0.9909,8.3224
1.0546,8.2535
1.3224,5.6049
1.5248,5.5227
1.3216,5.6104
1.3613,10.0223
1.5702,7.9076
1.3743,6.8073
1.1209,7.1743
1.2483,12.5976
1.2179,8.8681
1.2352,5.7489
1.0259,8.9373
0.9874,6.1577
1.4489,7.5033
1.0873,7.2499
1.2965,9.7157
1.228,5.1087
1.4149,5.8974
1.2355,8.8877
1.2384,8.2078
1.3101,9.8799
1.1321,9.359
1.2993,11.6193
1.4496,7.03
1.0602,7.5867
1.5756,5.8041
1.1847,5.5295
1.0582,4.6953
1.1334,6.0059
1.0965,9.2144
0.9725,8.9735
0.9816,13.3493
1.0982,5.1191
1.383,10.0104
1.113,8.3941
1.1568,8.5212
1.0909,7.9605
1.1705,8.1247
1.0956,8.45
1.1189,10.3955
1.7303,7.9272
1.2529,5.9577
1.0466,6.3584
1.0485,12.6823
1.2262,4.8642
1.2216,4.6503
1.1639,8.2682
1.4548,9.0927
1.628,6.7607
1.5772,8.5313
1.3217,9.1398
1.1939,7.1687
1.1842,7.9231
1.3072,5.9131
1.1246,8.0501
1.349,8.8913
1.1915,10.1539
1.1909,9.587
1.2997,9.7184
1.7593,10.1439
1.0992,7.5131
1.0251,5.3642
1.2315,6.3554
1.4683,10.2602
1.5187,9.2814
1.5291,7.2584
1.6005,6.5274
1.3599,17.845
1.476,7.8443
1.1845,8.4021
1.2103,9.478
1.1503,6.7179
1.4015,11.3978
1.1806,11.3368
1.1161,7.3169
1.49,7.3762
1.2566,6.8017
1.6048,6.346
1.495,10.3961
1.4685,6.4511
1.0658,6.1468
1.1849,8.6416
1.2367,9.9877
1.488,15.6938
1.386,7.9578
1.1128,8.4187
1.1964,5.052
1.4764,7.7639
1.0989,5.684
1.1015,8.7905
1.389,8.34
1.2636,10.0887
1.1969,7.4991
1.2177,9.3887
0.9637,5.0584
1.2084,8.97
1.1478,8.3068
1.0874,6.0877
1.3206,7.5873
1.119,6.5084
1.4361,8.1217
1.255,6.0323
1.3264,8.5761
1.4798,6.0765
1.048,5.1066
1.3823,9.2689
1.1065,8.0983
1.5528,8.155
1.4898,14.5422
1.0478,5.3722
1.138,6.9328
1.295,5.3297
1.4416,8.1413
1.1854,5.3918
1.1088,5.8244
1.5673,6.2385
1.1156,9.3375
1.387,14.0637
1.2061,9.3302
1.1962,7.1393
1.1617,7.7582
1.2286,4.9304
1.0718,7.9844
1.1196,5.7586
1.0843,5.7984
1.7648,9.8452
1.0408,6.9445
1.2393,8.6437
1.0755,5.7887
1.0136,8.837
1.1457,10.181
1.5165,10.7289
1.4367,6.0962
1.1328,8.4128
1.2219,5.4421
1.1818,6.3503
1.4019,10.4138
1.1876,5.3789
1.4707,9.7143
1.2362,8.3186
1.2189,5.3775
1.178,8.2333
1.1702,6.9902
1.1951,6.5212
1.3464,8.7869
0.9589,8.4344
1.3736,5.0597
1.4086,10.9917
1.2238,5.8256
1.0967,6.6375
1.462,6.5025
1.4006,8.1103
1.1391,7.3725
1.1741,8.761
1.051,13.2607
1.2211,4.9197
1.3265,9.1863
1.54,10.6132
1.2151,7.3666
1.2409,7.0912
1.052,4.7744
1.0635,12.7122
1.3135,7.0575
1.2125,8.3335
1.1941,6.4207
1.2645,5.5044
1.2501,8.8983
1.5587,9.2902
1.3079,7.4867
1.9142,12.6729
1.1311,7.4631
1.3145,10.6799
1.0671,6.596
1.1566,12.2146
1.0972,7.8205
1.0313,7.8797
1.0527,7.605
1.0283,7.9841
0.9866,8.8558
1.0226,8.3726
1.1432,4.9849
1.1024,4.3781
1.2314,9.069
1.2969,7.9138
1.1662,5.4667
1.2851,10.1812
1.5845,10.3229
1.3372,8.313
1.3622,5.5862
1.3945,7.2672
1.3217,6.3292
1.2161,5.1658
1.1585,5.2825
1.4983,6.2476
1.1605,7.3899
1.1028,9.3741
1.2192,5.1628
1.0924,11.7278
1.0262,6.3669
1.0997,12.5606
0.9943,5.3812
1.4635,6.532
1.1809,4.4884
1.4252,6.1312
1.2865,8.4719
1.1555,8.9316
1.2266,6.4352
1.143,5.9062
1.4868,7.8632
1.0825,4.9965
1.0784,6.4826
1.0403,11.3044
1.0499,6.3779
1.2078,5.7859
1.3585,4.9965
1.1025,4.3703
1.1387,8.8793
1.2955,11.7471
1.0628,8.526
1.0213,5.0214
1.0112,9.3573
1.1266,8.4677
1.115,9.7627
1.4218,6.0452
1.1746,7.4081
1.3362,9.4229
1.0785,8.9498
1.5516,15.181
1.1181,7.6039
1.2512,5.1196
1.144,6.4506
1.2436,9.7262
1.1665,8.8983
1.3153,9.307
1.1013,9.5691
0.9995,8.1076
1.0075,7.6138
1.7116,10.8777
1.2134,6.6316
1.4753,4.9588
1.1308,7.5596
1.3751,7.7813
1.5088,9.7163
1.2862,4.6137
1.2907,8.7913
1.1479,6.6417
1.1418,9.3047
1.0458,7.7845
1.1435,4.6137
1.0559,7.9383
1.0109,4.9212
1.2001,6.0011
1.1203,5.3114
1.179,6.0748
1.6796,6.0559
1.2232,5.0231
1.188,9.3449
1.2805,4.8793
1.1487,4.4836
1.0411,9.8941
1.1359,5.2544
1.1642,4.7326
1.1976,12.1234
0.9713,8.7489
1.0185,7.9983
1.9212,5.894
1.6538,9.352
1.4577,5.3309
1.3071,5.4489
1.6804,8.4746
1.4654,10.1473
1.1761,5.7734
1.3014,5.1231
1.4561,5.6105
1.2652,5.8975
1.2828,4.6638
1.3929,5.4117
1.1655,5.7004
1.282,5.0115
1.0454,7.7233
1.4342,5.0675
1.0868,8.404
1.2073,5.6761
1.2026,4.9158
1.008,4.8505
1.328,5.1754
1.2077,9.4187
1.2573,5.7178
1.1487,10.9869
1.1177,5.1503
1.0178,5.1744
1.0238,11.72
1.2073,9.2757
1.0012,8.7396
1.0561,9.0618
1.0142,7.7611
